Date,BTC,ADA,SOL
2024-09-02,"59,134.0",0.3362,134.948
2024-09-01,"57,315.7",0.3311,128.572
2024-08-31,"58,978.6",0.3451,135.342
2024-08-30,"59,119.7",0.3468,137.975
2024-08-29,"59,373.5",0.3580,140.025
2024-08-28,"59,016.0",0.3500,143.928
2024-08-27,"59,450.9",0.3503,146.921
2024-08-26,"62,846.2",0.3661,157.136
2024-08-25,"64,273.2",0.3849,159.083
2024-08-24,"64,159.3",0.3936,160.667
2024-08-23,"64,053.1",0.3914,153.150
2024-08-22,"60,372.2",0.3763,143.194
2024-08-21,"61,158.1",0.3689,142.726
2024-08-20,"59,005.8",0.3433,142.295
2024-08-19,"59,470.9",0.3367,144.304
2024-08-18,"58,446.3",0.3343,142.420
2024-08-17,"59,483.1",0.3373,141.914
2024-08-16,"58,877.2",0.3303,139.044
2024-08-15,"57,534.6",0.3249,142.479
2024-08-14,"58,707.8",0.3354,143.765
2024-08-13,"60,595.2",0.3399,146.663
2024-08-12,"59,350.0",0.3390,146.321
2024-08-11,"58,713.3",0.3276,141.440
2024-08-10,"60,931.7",0.3457,154.016
2024-08-09,"60,850.6",0.3483,156.247
2024-08-08,"61,699.7",0.3516,162.920
2024-08-07,"55,120.9",0.3235,144.422
2024-08-06,"56,057.8",0.3310,144.385
2024-08-05,"53,979.0",0.3117,129.702
2024-08-04,"58,141.8",0.3440,138.174
2024-08-03,"60,696.7",0.3645,142.442
2024-08-02,"61,478.7",0.3637,152.837
2024-08-01,"65,372.9",0.3928,167.504
2024-07-31,"64,626.0",0.3883,171.678
2024-07-30,"66,184.9",0.4014,179.061
2024-07-29,"66,798.7",0.4034,182.606
2024-07-28,"68,256.3",0.4073,184.904
2024-07-27,"67,843.1",0.4173,183.818
2024-07-26,"67,908.6",0.4173,183.058
2024-07-25,"65,799.3",0.3948,171.837
2024-07-24,"65,370.5",0.4062,178.082
2024-07-23,"65,937.8",0.4099,173.000
2024-07-22,"67,553.6",0.4263,178.958
2024-07-21,"68,158.7",0.4470,184.414
2024-07-20,"67,148.5",0.4373,173.607
2024-07-19,"66,677.4",0.4389,169.153
2024-07-18,"63,980.5",0.4234,159.209
2024-07-17,"64,089.2",0.4359,155.325
2024-07-16,"65,049.7",0.4381,160.527
2024-07-15,"64,782.4",0.4452,159.616
2024-07-14,"60,794.9",0.4319,147.687
2024-07-13,"59,209.8",0.4414,141.884
2024-07-12,"57,885.1",0.4166,139.497
2024-07-11,"57,337.3",0.3959,135.776
2024-07-10,"57,746.7",0.3886,142.077
2024-07-09,"58,039.4",0.3754,141.368
2024-07-08,"56,724.7",0.3691,139.747
2024-07-07,"55,861.1",0.3464,131.462
2024-07-06,"58,259.2",0.3710,143.147
2024-07-05,"56,641.8",0.3498,134.309
2024-07-04,"57,026.3",0.3621,127.674
2024-07-03,"60,199.3",0.4069,140.744
2024-07-02,"62,103.3",0.4184,153.909
2024-07-01,"62,890.1",0.4032,146.669
2024-06-30,"62,754.3",0.3924,146.560
2024-06-29,"60,973.4",0.3840,140.185
2024-06-28,"60,403.3",0.3858,139.930
2024-06-27,"61,685.3",0.3913,149.703
2024-06-26,"60,849.4",0.3849,136.796
2024-06-25,"61,809.4",0.3918,136.573
2024-06-24,"60,292.7",0.3778,132.275
2024-06-23,"63,196.2",0.3801,128.644
2024-06-22,"64,261.0",0.3846,133.689
2024-06-21,"64,128.5",0.3759,134.536
2024-06-20,"64,854.3",0.3843,133.527
2024-06-19,"64,980.9",0.3845,135.646
2024-06-18,"65,159.9",0.3836,137.376
2024-06-17,"66,498.8",0.4012,143.225
2024-06-16,"66,674.7",0.4168,151.256
2024-06-15,"66,223.0",0.4140,145.500
2024-06-14,"66,034.8",0.4119,143.050
2024-06-13,"66,773.1",0.4211,147.250
2024-06-12,"68,260.1",0.4377,155.237
2024-06-11,"67,319.8",0.4220,149.351
2024-06-10,"69,538.2",0.4406,159.049
2024-06-09,"69,650.6",0.4442,162.136
2024-06-08,"69,310.1",0.4368,157.829
2024-06-07,"69,347.9",0.4493,162.504
2024-06-06,"70,791.5",0.4581,170.106
2024-06-05,"71,083.7",0.4612,173.491
2024-06-04,"70,549.2",0.4615,171.778
2024-06-03,"68,807.8",0.4573,164.958
2024-06-02,"67,773.5",0.4466,163.241
2024-06-01,"67,760.8",0.4500,166.116
2024-05-31,"67,530.1",0.4470,165.580
2024-05-30,"68,354.7",0.4465,166.895
2024-05-29,"67,635.8",0.4513,168.291
2024-05-28,"68,366.0",0.4575,168.694
2024-05-27,"69,428.7",0.4683,170.124
2024-05-26,"68,514.8",0.4582,163.354
2024-05-25,"69,284.4",0.4623,168.385
2024-05-24,"68,547.6",0.4600,167.785
2024-05-23,"67,975.7",0.4657,176.040
2024-05-22,"69,155.4",0.4834,177.027
2024-05-21,"70,139.9",0.4947,178.179
2024-05-20,"71,422.7",0.5021,186.788
2024-05-19,"66,279.1",0.4672,169.936
2024-05-18,"66,917.5",0.4821,172.441
2024-05-17,"67,036.8",0.4822,169.441
2024-05-16,"65,231.0",0.4596,159.306
2024-05-15,"66,225.1",0.4526,158.285
2024-05-14,"61,569.4",0.4283,142.023
2024-05-13,"62,937.2",0.4368,147.411
2024-05-12,"61,480.0",0.4377,143.417
2024-05-11,"60,826.6",0.4389,145.391
2024-05-10,"60,796.9",0.4479,146.032
2024-05-09,"63,075.0",0.4635,152.795
2024-05-08,"61,207.5",0.4519,142.206
2024-05-07,"62,317.7",0.4416,148.062
2024-05-06,"63,163.1",0.4540,152.825
2024-05-05,"64,006.4",0.4579,145.692
2024-05-04,"63,888.3",0.4632,146.057
2024-05-03,"62,877.5",0.4671,143.639
2024-05-02,"59,121.3",0.4579,137.648
2024-05-01,"58,331.2",0.4502,134.643
2024-04-30,"60,666.6",0.4412,126.740
2024-04-29,"63,860.1",0.4571,137.686
2024-04-28,"63,109.7",0.4600,137.895
2024-04-27,"63,456.8",0.4674,141.306
2024-04-26,"63,766.4",0.4629,139.104
2024-04-25,"64,497.1",0.4705,144.808
2024-04-24,"64,285.7",0.4747,147.739
2024-04-23,"66,415.0",0.5000,154.743
2024-04-22,"66,829.3",0.5166,156.979
2024-04-21,"64,940.2",0.5005,148.785
2024-04-20,"64,961.1",0.5071,151.138
2024-04-19,"63,799.1",0.4678,142.362
2024-04-18,"63,481.4",0.4579,142.037
2024-04-17,"61,278.9",0.4441,131.919
2024-04-16,"63,805.3",0.4584,136.227
2024-04-15,"63,411.9",0.4609,138.499
2024-04-14,"65,697.4",0.4673,151.412
2024-04-13,"63,849.9",0.4444,138.641
2024-04-12,"67,151.9",0.5027,153.281
2024-04-11,"70,011.6",0.5859,172.432
2024-04-10,"70,622.1",0.5864,173.329
2024-04-09,"69,148.0",0.5913,172.390
2024-04-08,"71,630.1",0.6140,180.691
2024-04-07,"69,360.4",0.5892,179.541
2024-04-06,"68,890.6",0.5837,178.703
2024-04-05,"67,830.6",0.5740,174.368
2024-04-04,"68,496.5",0.5831,183.999
2024-04-03,"65,963.0",0.5694,185.076
2024-04-02,"65,439.2",0.5806,181.446
2024-04-01,"69,664.4",0.6211,192.224
2024-03-31,"71,332.0",0.6501,202.510
2024-03-30,"69,611.5",0.6438,194.221
2024-03-29,"69,871.7",0.6640,192.107
2024-03-28,"70,762.1",0.6508,189.482
2024-03-27,"69,442.4",0.6478,186.180
2024-03-26,"69,999.3",0.6649,190.465
2024-03-25,"69,892.0",0.6567,188.979
2024-03-24,"67,211.9",0.6467,183.676
2024-03-23,"64,037.8",0.6231,172.641
2024-03-22,"63,785.5",0.6147,175.087
2024-03-21,"65,503.8",0.6317,179.417
2024-03-20,"67,854.0",0.6393,191.897
2024-03-19,"62,050.0",0.5868,169.894
2024-03-18,"67,594.1",0.6601,195.866
2024-03-17,"68,391.2",0.6810,201.830
2024-03-16,"65,314.2",0.6593,182.079
2024-03-15,"69,463.7",0.7269,183.334
2024-03-14,"71,387.5",0.7508,176.523
2024-03-13,"73,066.3",0.7645,163.907
2024-03-12,"71,470.2",0.7482,151.054
2024-03-11,"72,099.1",0.7736,148.791
2024-03-10,"68,964.8",0.7167,144.407
2024-03-09,"68,366.5",0.7418,144.238
2024-03-08,"68,172.0",0.7230,144.748
2024-03-07,"66,855.3",0.7427,143.888
2024-03-06,"66,080.4",0.7348,130.734
2024-03-05,"63,792.6",0.6932,125.249
2024-03-04,"68,270.1",0.7693,132.896
2024-03-03,"63,135.8",0.7280,130.220
2024-03-02,"61,994.5",0.7413,130.078
2024-03-01,"62,397.7",0.7187,129.914
2024-02-29,"61,169.3",0.6540,125.588
2024-02-28,"62,467.6",0.6289,118.877
2024-02-27,"57,056.2",0.6236,108.398
2024-02-26,"54,495.1",0.6193,109.851
